,"A detailed record of spontanous recordings in 1.8mM calcium, Calcium recordings begin in February 2015, Notebook number is generall incorrect (should be notebook #4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual Cell Identifier,,,,, NK = not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICI,date,folder,Notebook-Page,genotype,cell type,dyefill,cell #,all stats,GapFree I=0 / Baseline recording,hyperpolarizing current (Ih),F/I steps (sometimes ramp),Random current injection,Washout,Cell attached Patch,TTX,3.3mM calcium ModA,Notes,10^-7M CCh,10^-5M CCh,10^-3M CCh,"CCh and then washout in one file, see notation column
",Notes on CCh condition,10^-4M Pilo,10^-4M Pilo + current injections,10^-10M Pilo,10^-8M Pilo,10^-7M Pilo,10^-6M Pilo,10^-5M Pilo,10^-4M Pilo +TTX ,10^-4M Pilo +TTX + current,10^-12M Nicotine,10^-9M Nicotine,10^-6M Nicotine,MCA,1uM MCA,10uM MCA,100um MCA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_02_12_c1,2/12/2015,2015_02_12_bk4pg76,2-76,OK371-GFP-Gal4,NK,,1,,15212000.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_02_12_c2,2/12/2015,2015_02_12_bk4pg76,2-76,OK371-GFP-Gal4,NK,,2,15212001.sta,15212005.abf,,"15212001.abf, 15212002.abf, 15212003.abf, 15212004.abf",,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_02_13_c1,2/13/2015,2015_02_13_bk4pg77,2-77,OK371-GFP-Gal4,NK,,1,"15213000.sta, 15213003.sta",15213003.abf,,"15213000.abf, 15213001.abf, 15213002.abf",,,,,,,,,,"
",,,,,,,,,,,,,,,,,
2015_02_16_c1,2/16/2015,2015_02_16_bk4pg78,2-78,OK371-GFP-Gal4,NK,,1,"15216000.sta, 15216006.sta","15216002.abf, 15216005.abf, 15216006.abf",,"15216000.abf, 15216001.abf, 15216003.abf, 15216004.abf",,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_02_16_c2,2/16/2015,2015_02_16_bk4pg78,2-78,OK371-GFP-Gal4,NK,,2,"15216007.sta, 15216013.sta","15216008.abf, 15216012.abf",,"15216007.abf, 15216009.abf, 15216010.abf, 15216011.abf",,,,,,,,,,"
","
",,,,,,,,,,,,,,,,
2015_02_16_c3,2/16/2015,2015_02_16_bk4pg78,2-78,OK371-GFP-Gal4,NK,,3,"15216014.sta, 15216018.sta","15216013.abf, 15216017.abf",,"15216014.abf, 15216015.abf, 15216016.abf",,,,,,,,,,"
","
",,,,,,,,,,,,,,,,
2015_02_17_c1,2/17/2015,2015_02_17_bk4pg80,2-80,OK371-GFP-Gal4,NK,,1,"15217000.sta, 15217004.sta","15217000.abf, 15217004.abf",,"15217001.abf, 15217002.abf, 15217003.abf",,,,,,,,,,"
","
",,,,,,,,,,,,,,,,
2015_02_18_c1,2/18/2015,2015_02_18_bk4pg82,2-82,OK371-GFP-Gal4 x UAS-T287D 10A,NK,,1,"15218000.sta, 15218006.sta","15218000.abf, 15218006.abf",,"15218001.abf, 15218002.abf, 15218003.abf, 15218004.abf, 15218005.abf, 15218007.abf",,,,,,1mM Calcium,,,,,,,,,,,,,,,,,,,,,
