,file,cell,length,burst,tonic,silent,numbursts,burst_length_cv,ibi_cv,spikespburst,spikespburst_cv,burst_length,ibi_length,tonic_isi,tonic_isi_cv
15o14006,15o14006,1b,300000.0,0.0,0.501450437667,0.498549562333,,,,,,,,0.498,0.577929647428
15826025,15826025,1b,60774.4,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15o22004,15o22004,1b,300000.0,0.0,0.041361845,0.958638155,,,,,,,,0.149,0.579284446363
15320003,15320003,NK,180750.0,0.0,0.436199987828,0.563800012172,,,,,,,,0.204,0.578763613457
15o20000,15o20000,1b/6/7,300000.0,0.0,0.409617331667,0.590382668333,,,,,,,,0.5165,0.577908905285
15409020,15409020,1s,120099.9,0.0,0.00980679584246,0.990193204158,,,,,,,,0.0595,0.582181736427
15218008,15218008,NK,65100.0,0.00105820892353,0.000152239631336,0.998789551445,2,0.356657078511,0.0,100.5,0.402985074627,2.24235,9.4714,0.1025,0.580159776142
15220005,15220005,NK,907850.0,0.000169602912944,0.0322890834389,0.967541313648,74,0.882497802771,3.40274792204,18.0,0.936728772979,1.91486712329,4.75407777778,1.028,0.57763101332
15512000,15512000,14/30,60099.9,0.000573062335986,0.781589270531,0.217837667133,1,0.0,,34.0,0.0,2.0699,,0.5455,0.577879220532
15721013,15721013,NK,67430.4,0.0,0.0194422308039,0.980557769196,,,,,,,,0.033,0.586032715328
15812006,15812006,14/30,60000.0,0.00894563888889,0.271904478333,0.719149882778,5,0.234849182443,0.568044933196,77.0,0.322642989857,6.44086,2.701625,0.318,0.578257340085
15312011,15312011,NK,120000.0,0.000209083333333,0.0910555833333,0.908735333333,1,0.0,,7.0,0.0,3.0108,,0.059,0.58222250974
15821007,15821007,NK,60000.0,0.0,0.861936243333,0.138063756667,,,,,,,,0.244,0.578532154294
15806014,15806014,1b/6/7,60000.0,0.0,0.110095588333,0.889904411667,,,,,,,,0.079,0.580992893774
15o14001,15o14001,1b/6/7,300000.0,0.0,0.0721518873333,0.927848112667,,,,,,,,0.149,0.579284446363
15217000,15217000,NK,272900.0,0.00071895567887,0.340270670942,0.659010373379,12,0.252432009435,0.730110379393,47.5833333333,0.525636254736,4.46198333333,18.5891272727,1.3155,0.577569668882
15731009,15731009,NK,120000.0,0.0029121875,0.0211943133333,0.975893499167,7,0.451885023064,1.13969861186,14.0,1.25705008934,5.99078571429,12.6254333333,0.083,0.580817869552
15320000,15320000,NK,686700.0,0.00010139031157,0.37706996374,0.622828645949,5,0.154790096195,0.144548605272,184.6,0.212268097986,9.56226,11.82575,1.8595,0.577505491741
15721010,15721010,6/7,120000.0,0.00137021527778,0.776730725833,0.221899058889,6,0.242018573672,0.444639860156,109.166666667,0.444232835561,3.28851666667,17.39786,2.6275,0.577460125583
15826015,15826015,NK,120780.8,0.00127700835582,0.00324083463597,0.995482157008,1,0.0,,121.0,0.0,18.629,,0.061,0.582063410813
15219005,15219005,NK,43949.99999999999,0.0,0.0,1.0,,,,,,,,0.021,0.590936840285
15312007,15312007,NK,120000.0,0.0,0.0028429925,0.9971570075,,,,,,,,0.0595,0.582181736427
15o20010,15o20010,6/7,300000.0,0.002470132,0.0292620153333,0.968267852667,46,1.85554758868,0.342093359314,93.8043478261,1.9461011198,4.83286695652,1.74731111111,0.1175,0.579801873717
15312009,15312009,NK,120000.0,0.0,0.000205513333333,0.999794486667,,,,,,,,0.0595,0.582181736427
15216002,15216002,NK,27150.0,0.0,0.719731451197,0.280268548803,,,,,,,,0.1285,0.579592414595
